CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,TearGas
Bozeman,,,MT,US,2020-10-03,FB: 93,93,,93,,,Bozeman United For Racial Justice,"against racism, against police violence, for justice for Breonna Taylor",1,vigil,,,,,1,1,https://www.facebook.com/events/392261241791716/,,,,
Burlington,Battery Park,,VT,US,2020-10-03,FB: 11,11,,11,,,The Black Perspective,"against racism, against police violence",1,march,,,,,1,1,https://www.facebook.com/events/587346049055272/,,,,
Cedar Rapids,Redmond Park to African American Museum of Iowa,,IA,US,2020-10-03,,,,,,,Linn County Democrats Affirmative Action Caucus; NAACP; Black Men of Cedar Rapids,"for racial justice, for Black empowerment",1,rally; march,,,,,1,1,https://www.kcrg.com/2020/10/04/black-men-strong-march-in-cedar-rapids-aims-to-encourage-men-of-color-to-support-racial-justice/,https://cbs2iowa.com/news/local/black-men-strong-march-hosted-in-cedar-rapids-saturday,https://www.thegazette.com/subject/news/photos-black-mens-march-in-cedar-rapids-20201004,Black Men Strong March,
Chicago,Federal Plaza,,IL,US,2020-10-03,,,,,,,Refuse Fascism; Refuse Fascism Chicago; Degenerate Artists Against Fascism,"against President Trump, against fascism",1,protest,,,,,1,1,https://www.facebook.com/events/386443085694580/?event_time_id=386443092361246,,,Trump/Pence Out Now,
Chicago,Union Park,,IL,US,2020-10-03,dozens,24,,24,,,Chicago Boricua Resistance; 48th Ward Neighbors for Justice; Chicago Democratic Socialists of America; Chicago Afrosocialist + Socialists of Color Caucus; Chicago Alliance Against Racist and Political Repression,"against racism, against evictions during the coronavirus pandemic, for unemployment relief",1,rally,,,,,0,1,https://chicago.cbslocal.com/2020/10/03/dozens-rally-in-union-park-against-evictions-for-help-for-unemployed/,https://www.facebook.com/events/623433508367023/,,Unemployment Day,
Chicago,Columbia College Chicago,,IL,US,2020-10-03,,,,,,,Fusion of Light Entertainment,"against racism, against police violence, for justice for Breonna Taylor",1,march; rally,,,,,0,1,https://columbiachronicle.com/creatives-march-empowering-the-next-generation-of-creatives,,,,
Cincinnati,Findlay Playground,,OH,US,2020-10-03,hundreds of people,200,,200,,,Anti-Racism Anti-Police Brutality Coalition,"against racism, against police brutality, against gentrification",1,rally; march,,,,,1,1,https://www.wcpo.com/news/local-news/hamilton-county/cincinnati/over-the-rhine/demonstrators-march-speak-out-against-inequality-and-gentrification,https://www.facebook.com/events/3528426950510966/,,,
Claremont,Indian Hill and Foothill Blvd,,CA,US,2020-10-03,,,,,,,Mountain View Republican Club,for President Trump,2,demonstration,,,,,1,1,https://patch.com/california/claremont-laverne/claremont-demonstration-indian-hill-blvd-foothill,,,,
Claremont,Indian Hill and Foothill Blvd,,CA,US,2020-10-03,,,,,,,general protesters,"against President Trump, for Black Lives Matter",1,counter-protest,,,,,0,1,https://patch.com/california/claremont-laverne/claremont-demonstration-indian-hill-blvd-foothill,,,,
Clark,Clark Town Hall,,NJ,US,2020-10-03,,,,,,,general protesters,for President Trump,2,rally,,,,,1,1,https://www.tapinto.net/towns/clark/sections/elections/articles/clark-mayor-invites-trump-road-rally-to-gather-at-town-hall,,,,
Colorado Springs,City of Colorado Springs Administration Building,,CO,US,2020-10-03,,,,,,,Colorado Springs CounterPropoganda,"against racism, against police violence, against homelessness",1,march,,,,,1,1,https://www.facebook.com/events/789435148536663/,https://www.fox21news.com/top-stories/protest-planned-for-downtown-colorado-springs-on-saturday/,,,
Columbus,I-270,,OH,US,2020-10-03,,,,,,,general protesters,for President Trump,2,car caravan,1,,,,1,1,https://www.dispatch.com/story/news/2020/10/03/show-support-donald-trump-features-rolling-rally/5893426002/,https://www.news5cleveland.com/news/state/ohio-man-fires-shot-at-vehicle-while-participating-in-trump-rally-police-say,,,
Cumberland,Emmanuel Episcopal Church to Cumberland City Hall,,MD,US,2020-10-03,over 150 members of the community,150,,150,,,Alleghany County NAACP Branch 7007,"against racism, against police violence, for justice for Breonna Taylor",1,march,,,,,1,1,https://www.times-news.com/news/local_news/enough-is-enough-march-honors-breonna-taylor/article_1a1cf029-2b2f-508b-854a-7f16d6164b16.html,http://thebottomlinenews.com/today-it-ends-she-matters-march-organized-in-response-to-verdict-of-breonna-taylor-case/,https://www.facebook.com/events/657340554973101/,She Matters Safe Not Silent March,
Davenport,,,IA,US,2020-10-03,about two dozen people,24,,24,,,We FIGHT,"for gun rights, against racism, for LGBTQ rights, for civil rights",0,rally,,,,,1,1,https://qctimes.com/news/local/q-c-rally-held-for-gun-rights-civil-rights/article_6b624a8e-ec3f-53c5-a545-a4f5dbda454a.html,,,,
Dekalb,Memorial Park,,IL,US,2020-10-03,,,,,,,general protesters,"against racism, against police violence, for justice for Breonna Taylor",1,march,,,,,1,1,https://www.daily-chronicle.com/2020/09/30/march-planned-in-downtown-dekalb-saturday-for-justice-for-breonna-taylor/ah6intj/,,,,
Denton,Buc-ees,,TX,US,2020-10-03,,,,,,,general protesters,for President Trump,2,rally,1,,,,1,1,https://www.dallasobserver.com/news/pro-trump-protester-punches-man-outside-denton-buc-ees-in-viral-video-11950332,,,,
Denton,Buc-ees,,TX,US,2020-10-03,,,,,,,general protesters,against President Trump,1,counter-protest,,1,,,0,1,https://www.dallasobserver.com/news/pro-trump-protester-punches-man-outside-denton-buc-ees-in-viral-video-11950332,,,,
Detroit,Patrick V. McNamara Federal Building,,MI,US,2020-10-03,,,,,,,Refuse Fascism; Refuse Fascism-Detroit Area,"against President Trump, against fascism",1,rally,,,,,1,1,https://www.facebook.com/events/3336545833104742/,,,Trump/Pence Out Now,
Evanston,Emerson St,,IL,US,2020-10-03,about 200 people; hundreds,200,,200,,,Rainbow PUSH Coalition,"against racism, against police violence, for defunding police, for justice for Breonna Taylor and Jacob Blake",1,march,,,,,1,1,https://chicago.suntimes.com/metro-state/2020/10/3/21500450/family-of-breonna-taylor-jacob-blake-hold-evanston-rally-and-encourage-people-to-vote,https://dailynorthwestern.com/2020/10/05/uncategorized/families-of-jacob-blake-breonna-taylor-lead-unity-march/,,,
Fairfield,Courthouse,,CA,US,2020-10-03,,,,,,,general protesters,antiracism; pro peaceful protest,1,protest,,,,,1,1,https://www.instagram.com/p/CFvWDIIBjEb/,,,,
Fayetteville,Market House,,NC,US,2020-10-03,,,,,,,North Carolina Poor People's Campaign; NC Raise Up/Fight for $15 and a Union; Fayetteville PACT; Action NC,for Medicaid for all,1,march,,,,,1,1,https://www.fayobserver.com/story/news/2020/09/30/state-organizations-hold-medicaid-all-march/3586995001/,,,,
Fort Lauderdale,,,FL,US,2020-10-03,,,,,,,general protesters,for President Trump,2,boat parade,,,,,1,1,https://www.bbc.com/news/election-us-2020-54405735,,,,
Fort Wayne,Allen County Courthouse,,IN,US,2020-10-03,FB: 171,171,,171,,,Nasty Women of Allen County,"for Democratic candidates for office, for Joe Biden, for voting rights",1,rally,,,,,1,1,https://www.facebook.com/events/345786643437142/,,,,
Franklin,Williamson County Agricultural Expo Center to Lewisburg to Nashville,,TN,US,2020-10-03,more than 60 vehicles,60,,60,,,general protesters,for President Trump,2,car caravan,,,,,1,1,http://www.williamsonherald.com/news/maga-drag-the-interstate-rally-rolls-through-county/article_c3fe1b7c-0905-11eb-b286-df41c3af1f7f.html,,,MAGA Drag the Interstate,
Franklin Square,Sobo Ave to Naple Ave,,NY,US,2020-10-03,hundreds of Franklin Square residents,200,,200,,,general protesters,for police,0,rally,,,,,1,1,"https://www.liherald.com/stories/hundreds-march-for-police-in-franklin-square,128064",,,,
Fresno,Villagio Shopping Center,,CA,US,2020-10-03,,,,,,,general protesters,for President Trump,2,car caravan,,,,,1,1,https://www.yourcentralvalley.com/news/local-news/car-and-truck-rally-held-to-support-trump-in-northwest-fresno/,,,,
Gainsville,,,FL,US,2020-10-03,more than 30 cars,30,,30,,,general protesters,for President Trump,2,car caravan,,,,,1,1,https://www.wcjb.com/2020/10/04/political-rallies-take-place-across-north-central-florida/,,,,
Galveston,Wilbridge Community Center,,TX,US,2020-10-03,about 75 people,75,,75,,,general protesters,"for racial justice, for solidarity",1,march; rally,,,,,1,1,https://www.galvnews.com/news/free/article_edb57eec-975d-53d3-a5ca-9c9d65ecf8a8.html,,,The Citizens' Rally for Justice and Change,
Gettysburg,Lincoln Square,,PA,US,2020-10-03,,,,,,,general protesters,unclear,0,protest,,,,,1,1,https://www.pennlive.com/news/2020/10/several-charged-after-weekend-protests-in-gettysburg.html,,,,
Gettysburg,Lincoln Square,,PA,US,2020-10-03,,,,,,,general protesters,unclear,0,counter-protest,,,,,0,1,https://www.pennlive.com/news/2020/10/several-charged-after-weekend-protests-in-gettysburg.html,,,,
Grand Rapids,Rosa Parks Circle,,MI,US,2020-10-03,,,,,,,Justice for Black Lives,"against racism, against police violence",1,protest; march,,,,,1,1,https://www.wzzm13.com/article/news/local/two-local-families-march-for-answers/69-db3440c9-9e94-4306-8e7d-f72b91ba6656,https://www.woodtv.com/news/grand-rapids/protesters-march-against-police-brutality-in-gr/,https://www.facebook.com/events/1681424368697472/,,
Great Falls,Gibson Park,,MT,US,2020-10-03,,,,,,,general protesters,for police,0,rally; motorcycle ride,,,,,1,1,https://www.greatfallstribune.com/story/news/2020/10/02/great-falls-support-law-enforcement-police-officers-cops-rally/5888385002/,,,,
Gulf Breeze,"Tiger Point Walmart, Gulf Breeze Pkwy",,FL,US,2020-10-03,,,,,,,general protesters,for President Trump,2,rally,,,,,1,1,https://www.wkrg.com/news/stand-with-president-trump-rally-planned-for-gulf-breeze-saturday/,,,,
Hartford,Albany Ave and Woodland St,,CT,US,2020-10-03,about 40 to 50 people,40,,50,,,Self Defense Brigade; Black Lives Matter 860; Power Up Manchester; Huey P. Newton Gun Club,"against racism, for Second Amendment rights",1,march,,,,,1,1,https://www.courant.com/news/connecticut/hc-news-connecticut-hartford-black-protest-guns-voting-20201002-cu45efzuinanvngeujyjlsy43i-story.html,https://www.courant.com/news/connecticut/hc-news-connecticut-hartford-gun-rights-black-lives-matter-20201003-qxwlhlcgbfgtrk5t6i4vlarbn4-story.html,,,
Ipswich,,,MA,US,2020-10-03,,,,,,,general protesters,"against racism, against police violence, for justice for Breonna Taylor",1,car caravan,,,,,1,1,http://thelocalne.ws/2020/10/03/blm-motor-protest-tours-town/,,,,
Ithaca,Staples to Ithaca Police Department and back,,NY,US,2020-10-03,dozens,24,,24,,,general protesters,for President Trump,2,rally,,,,,1,1,https://ithacavoice.com/2020/10/rare-trump-rally-in-ithaca-marked-by-stand-off-with-counter-protesters/,,,,
Ithaca,Ithaca City Hall,,NY,US,2020-10-03,,,,,,,general protesters,"against President Trump, for Black Lives Matter",1,counter-protest,,,,,0,1,https://ithacavoice.com/2020/10/rare-trump-rally-in-ithaca-marked-by-stand-off-with-counter-protesters/,,,,
Jacksonville,"Walmart, Yopp Rd",,NC,US,2020-10-03,,,,,,,general protesters,for President Trump,2,car caravan,,,,,1,1,https://www.witn.com/2020/10/03/black-lives-matter-counter-protest-scheduled-for-jacksonville/,,,,
Jacksonville,"Walmart, Yopp Rd",,NC,US,2020-10-03,,,,,,,general protesters,"against Donald Trump, against racism, against police violence",1,counter-protest,,,,,0,1,https://www.witn.com/2020/10/03/black-lives-matter-counter-protest-scheduled-for-jacksonville/,,,,
Janesville,Riverside Park to Rock County Courthouse,,WI,US,2020-10-03,dozens,24,,24,,,general protesters,"against racism, against police violence, for justice for Breonna Taylor",1,march,,,,,1,1,https://www.wifr.com/2020/10/04/protesters-march-to-janesville-in-response-to-shooting-death-of-breonna-taylor/,,,,
Jefferson City,,,MO,US,2020-10-03,about 500 people,500,,500,,,MAGA Drag the Interstate,for President Trump,2,car caravan; rally,,,,,1,1,https://www.newstribune.com/news/local/story/2020/oct/04/maga-rally-held-in-capital-city/843982/,,,Drive for 45,
Kansas City,KCMO City Hall,,MO,US,2020-10-03,more than 25 tents,25,,25,,,general protesters,"against racism, for defunding police, for firing police Chief Rick Smith",1,occupation,,,,,1,1,https://www.kansascity.com/news/local/article246214260.html,https://hayspost.com/posts/90d4d90f-d684-4e8b-a0f9-88b4e231fe86,,,
Kennesaw,,,GA,US,2020-10-03,,,,,,,MAGA Drag the Interstate,for President Trump,2,car caravan,,,,,1,1,https://www.ajc.com/news/trump-supporters-rally-in-kennesaw-ahead-of-caravan/OFYKKN5LOBHSNAA7HVDJDY2PGQ/,,,Drive for 45,
Killeen,Fort Hood,,TX,US,2020-10-03,,,,,,,The Watchmen,"for justice for Vanessa Guillen, against racism",0,protest; vigil,,,,,1,1,https://kdhnews.com/news/breaking/protest-planned-near-fort-hood-gate-today-east-gate-to-be-closed-most-of-day/article_35fb6c5e-04bd-11eb-8c05-2fa58a7d4133.html,,,,
Lafayette,Parc Sans Souci,,LA,US,2020-10-03,about 400 members...joined by about 200 other demonstrators,600,,600,,,Not Fucking Around Coalition,"against racism, against police violence, for justice for Trayvon Pellerin",1,demonstration,1,,,,1,1,https://www.brproud.com/louisiana-news/militia-group-said-it-plans-to-protest-in-parc-sans-souci-saturday-afternoon/,https://twitter.com/FordFischer/status/1312583893556617216,https://www.theadvertiser.com/story/news/local/2020/10/03/update-not-f-ing-around-coalition-nfac-march-downtown-lafayette/5885382002/,Arrest was for accidental discharge of firearm.,
Lafayette,Parc Sans Souci,,LA,US,2020-10-03,,,,,,,general protesters,against Black Lives Matter,2,counter-protest,,,,,0,1,https://twitter.com/FordFischer/status/1312428515204239360,https://www.theadvertiser.com/story/news/local/2020/10/03/update-not-f-ing-around-coalition-nfac-march-downtown-lafayette/5885382002/,https://twitter.com/FordFischer/status/1312583893556617216,Various white militias showed up.,
Lakeland,Believers' Fellowship Church,,FL,US,2020-10-03,,,,,,,general protesters,for President Trump,2,rally,,,,,1,1,https://www.dailyridge.com/en/2020/10/06/believers-fellowship-church-hosted-rally-to-keep-america-great/,,,Keep America Great Rally,
Lancaster,250 College Ave,,PA,US,2020-10-03,FB: 35,35,,35,,,Put People First-PA; Put People First PA Lancaster Healthcare Rights Committee; Lancaster County Homeless Union; Put People First-South Central PA; National Union of the Homeless,"for healthcare as a human right, for state seizure of St. Josephs Hospital, for Medicaid dental benefits, for creation of an Office of the Public Healthcare Advocate in Pennsylvania, for federal waiver to expand Medicaid to all Pennsylvania residents, for public housing of homeless in Lancaster, for release of prison inmates vulnerable to COVID-19, for better workplace protection against coronavirus for workers at University of Pennsylvania Medical Center",1,march,,,,,1,1,https://www.facebook.com/events/417091032584890/,,,Medicaid March,
Las Vegas,All American Park,,NV,US,2020-10-03,about 60,60,,60,,,coaches; parents; students,for resuming contact school sports during coronavirus pandemic,0,rally,,,,,1,1,https://www.fox5vegas.com/coronavirus/coaches-parents-rally-for-contact-sports-left-sidelined-by-nevada-gov-sisolak/article_c872e0c6-0602-11eb-a77b-ffcdfbd93a7d.html,,,,
Lebanon,,,NH,US,2020-10-03,,,,,,,general protesters,for Joe Biden,1,rally,,,,,1,1,https://www.wmur.com/article/sen-bernie-sanders-to-hold-rally-for-biden-campaign-in-nh-on-saturday/34244282#,,,Feat. Bernie Sanders,
Lodi,DeBenedetti Park,,CA,US,2020-10-03,,,,,,,@WomensMarchLodi,for women's empowerment,1,march,,,,,1,1,https://www.instagram.com/p/CFMzH1Oh10e/,,,,
Londonderry,"from Plymouth, MA, to Nashua",,NH,US,2020-10-03,hundreds of cars,200,,200,,,general protesters,for President Trump,2,car caravan,,,,,1,1,https://boston.cbslocal.com/2020/10/03/president-donald-trump-supporters-massachusetts-new-hampshire-rolling-rally-car-parade/,https://whdh.com/news/trump-supporters-caravan-to-nh-for-re-election-rally/,,,
Los Angeles,6801 Hollywood Blvd,,CA,US,2020-10-03,FB: 28,28,,28,,,Refuse Fascism; Refuse Fascism Los Angeles,"against President Trump, against fascism",1,rally,,,,,1,1,https://www.facebook.com/events/319950532647266/,,,Trump/Pence out Now,
Los Angeles,"Sunset Blvd, Hollywood",,CA,US,2020-10-03,hundreds,200,,200,,,Armenian-Americans,against Azerbaijan aggression in Nagorny Karabakh,0,march; roadblock,,,,,0,1,https://www.nbclosangeles.com/news/local/armenian-azerbaijan-protests-halt-traffic-on-the-101-freeway/2438493/,https://abc7.com/101-freeway-shut-down-protest-armenian-armenia-azerbaijan-conflict/6755367/,https://ktla.com/news/local-news/protesters-gather-in-hollywood-to-call-for-broader-media-coverage-of-azerbaijan-armenia-clashes/,Blocked 101 Freeway for a time.,
Los Angeles,Getty House,,CA,US,2020-10-03,,,,,,,general protesters,against sweeps of homeless peoples' encampments,0,demonstration,,,,,0,1,https://losangeles.cbslocal.com/2020/10/03/homeless-camp-sweeps-los-angeles-bulldozer/,https://www.dailynews.com/2020/10/03/activists-protest-homeless-encampment-sweeps-outside-la-mayors-home/,,,
Los Angeles,Woodland Hills,,CA,US,2020-10-03,hundreds,200,,200,,,general protesters,"for President Trump, for police",2,rally,,,,,0,1,https://losangeles.cbslocal.com/video/4761995-hundreds-show-out-for-back-the-blue-rally-in-support-of-law-enforcement-trumps-coronavirus-fight/,,,,
Louisville,The Belvedere to Jefferson Square,,KY,US,2020-10-03,more than 100 people,100,,100,,,Black Womens Collective,"against racism, against police violence, for justice for Breonna Taylor",1,march; vigil,,,,,1,1,https://www.wlky.com/article/black-womens-collective-organizes-march-for-breonna-taylor-other-black-women-killed-by-police/34260228,,,,
Madison,Wisconsin State Capitol,,WI,US,2020-10-03,,,,,,,Dane County Candidates and Activists,against Democratic state leadership,2,rally,,,,,1,1,https://www.channel3000.com/two-different-groups-rally-for-change-at-wisconsin-state-capitol/,,,,
Madison,Wisconsin State Capitol,,WI,US,2020-10-03,,,,,,,Impact Demand,"for Hands Up Act to punish police who shoot unarmed people, against racism",1,rally,,,,,0,1,https://www.channel3000.com/two-different-groups-rally-for-change-at-wisconsin-state-capitol/,,,,
Mansfield,Central Park,,OH,US,2020-10-03,FB: 24,24,,24,,,Mansfield Peace Coalition,"against racism, against police violence",1,rally,,,,,1,1,https://www.facebook.com/events/326101958605039/,,,,
Marietta,Cobb Civic Center,,GA,US,2020-10-03,,,,,,,general protesters,"for police, for Republican candidates for office",2,rally,,,,,1,1,https://cobbcountycourier.com/2020/10/cobb-gop-officials-activists-to-hold-voices-for-america-rally/,,,,
Middletown,Middletown City Hall,,CT,US,2020-10-03,an estimated 50 protesters,50,,50,,,845 Unity,"against racism, against police violence, for justice for Breonna Taylor",1,demonstration,1,,,,1,1,https://www.wvdispatch.com/2020/10/residents-hold-rally-for-breonna-taylor-in-village-of-warwick/,https://www.recordonline.com/story/news/local/middletown/2020/10/07/protester-charged-disorderly-conduct-breonna-taylor/5910848002/,,,
Minneapolis,"Cup Foods, 3759 Chicago Ave S",,MN,US,2020-10-03,FB: 37,37,,37,,,George Floyd Mpls Coalition,"against racism, against police violence, for justice for George Floyd",1,rally; march,,,,,1,1,https://www.facebook.com/events/713216049290436/,,,We Still Can't Breathe Rally and March,
Minneapolis,,,MN,US,2020-10-03,,,,,,,Women for Biden,for Joe Biden,1,rally,,,,,0,1,https://www.fox9.com/news/dr-jill-biden-makes-stops-in-twin-cities-rallies-with-women-in-minneapolis,,,Feat. Jill Biden,
Monroe,,,NY,US,2020-10-03,several dozen people,36,,36,,,general protesters,for police,0,rally,,,,,1,1,https://midhudsonnews.com/2020/10/04/another-back-the-blue-rally-in-monroe/,,,,
Montana Vista,ICE Montana Vista Detention Center,,TX,US,2020-10-03,,,,,,,Border Network for Human Rights,"against ICE, against abuse of immigrants' human rights",1,caravan,,,,,1,1,https://www.elpasotimes.com/picture-gallery/news/2020/10/03/caravan-protesters-locks-down-ice-facility-protest-migrant-abuse/3612913001/,,,"Cars joined mid-route by ""cabalgata,"" a group of protesters on horseback.",
Naperville,Millennium Carrilon to downtown,,IL,US,2020-10-03,about 50 people,50,,50,,,Naper Youth for BLM,"against racism, against police violence, for justice for Breonna Taylor",1,march,,,,,1,1,https://www.dailyherald.com/news/20201003/teens-march-through-naperville-to-protest-killing-of-breonna-taylor,,,,
New Albany,,,OH,US,2020-10-03,,,,,,,general protesters,for President Trump,2,car caravan,,,,,1,1,https://abc6onyourside.com/news/local/2-protests-in-new-albany-on-saturday,,,,
New Albany,Market St/Rose Run Park,,OH,US,2020-10-03,several dozen,36,,36,,,Proud Boys,for President Trump,2,protest,,,,,0,1,https://abc6onyourside.com/news/local/2-protests-in-new-albany-on-saturday,https://twitter.com/stoiawsyx6/status/1312437677535371265,,,
New Brunswick,Rutgers University,,NJ,US,2020-10-03,,,,,,,students,for lower tuition during coronavirus pandemic,0,march,,,,,1,1,https://www.tapinto.net/towns/new-brunswick/sections/rutgers-university/articles/rutgers-students-organizing-march-to-demand-lower-tuition,,,,
New York,"Bricktown Centre, Staten Island",,NY,US,2020-10-03,"hundreds; more than 2,500",200,,2500,,,Staten Island Republican Party,"for President Trump, for police, for small businesses",2,rally,,,,,1,1,https://www.ny1.com/nyc/all-boroughs/politics/2020/10/02/hundreds-expected-to-gather-saturday-morning-for-trump-rally,https://www.complex.com/life/2020/10/trump-rally-draws-hundreds-staten-island-president-remains-hospitalized-covid-19,https://newyork.cbslocal.com/2020/10/03/staten-island-trump-rally/,,
New York,"Bricktown Centre, Staten Island",,NY,US,2020-10-03,,,,,,,general protesters,against President Trump,1,counter-protest,,,,,0,1,https://nypost.com/2020/10/03/counterprotester-shoved-by-the-neck-at-staten-island-trump-rally/,https://www.rallylist.com/march-against-the-re-election-of-donald-trump/,,,
New York,Union Square,,NY,US,2020-10-03,,,,,,,Refuse Fascism NYC; Refuse Fascism,"against President Trump, against fascism",1,protest,,,,,0,1,https://www.facebook.com/events/689755575232600/?event_time_id=689755581899266,,,Trump/Pence out Now,
New York,Central Park,,NY,US,2020-10-03,about 20,20,,20,,,NYCLASS; PETA,"against horse-drawn carriages, against animal abuse",0,protest,,,,,0,1,https://newyork.cbslocal.com/2020/10/03/horse-drawn-carriage-central-park-return-protest/,https://ilovetheupperwestside.com/returning-horse-carriages-spark-protests-videos/,,,
New York,"Roosevelt Ave, Jackson Heights, Queens",,NY,US,2020-10-03,dozens of protesters,24,,24,,,general protesters,for abolishing ICE,1,protest,,,,,0,1,https://www.ny1.com/nyc/all-boroughs/news/2020/10/04/abolish-ice-rally-held-in-queens,,,,
New York,25th St and Fifth Ave,,NY,US,2020-10-03,,,,,,,Justice Ride,for voter registration,0,bicycle ride,,2,,,0,1,https://abc7ny.com/2-bicyclists-struck-by-suv-during-protest-in-nyc/6767873/,https://www.amny.com/news/double-hit-and-run-of-cyclists-during-protest-in-manhattan-just-another-day-in-nyc/,,Two people struck by driver in SUV.,
New York,Washington Square Park,,NY,US,2020-10-03,,,,,,,Wide Awakes,"against racism, for freedom",1,march,,,,,0,1,https://twitter.com/datainput/status/1312564371323842563,https://www.vogue.com/article/wide-awakes-capes,,,
New York,Guggenheim Museum,,NY,US,2020-10-03,,,,,,,IUOE Local 30,against museum's failure to reach a contract with its workers,0,rally,,,,,0,1,https://hyperallergic.com/594660/guggenheim-union-rally-documentary/,,,,
Newark,12 Springfield Ave,,NJ,US,2020-10-03,,,,,,,People's Organization for Progress,against President Trump,1,march; rally,,,,,1,1,https://patch.com/new-jersey/montclair/voters-montclair-newark-rally-against-trump-2020-election,https://www.facebook.com/poppicturesandvideos/photos/a.564231943645003/3299322783469225/?type=3,,,
Nome,Nome Public Safety Building,,AK,US,2020-10-03,a group of around 35 individuals,35,,35,,,general protesters,for justice for missing and murdered indigenous women,0,march,,,,,1,1,https://www.knom.org/wp/blog/2020/10/07/group-march-in-nome-demands-justice-for-missing-murdered-indigenous-women/,,,,
Norway,Oxford Hills Comprehensive High School,,ME,US,2020-10-03,a handful,5,,5,,,general protesters,against bullying in schools,0,protest,,,,,1,1,https://www.newscentermaine.com/article/news/parents-others-protest-student-bullying-in-oxford-hills-community/97-cacacc4c-82cb-478f-b38d-4d1e829794d8,,,,
Ocala,,,FL,US,2020-10-03,,,,,,,Vote Common Good,for Joe Biden,1,rally,,,,,1,1,https://www.wcjb.com/2020/10/04/political-rallies-take-place-across-north-central-florida/,,,,
Oklahoma City,Oklahoma State Capitol,,OK,US,2020-10-03,,,,,,,general protesters,for President Trump,2,rally; car caravan,,,,,1,1,https://kfor.com/news/trump-supporters-rally-at-oklahoma-state-capitol/,https://twitter.com/F5Video/status/1312476589163069440,https://oklahoman.com/article/5673079/oklahomans-rally-in-support-of-donald-trump-following-covid-19-diagnosis,Drive for 45,
Pahrump,"Coyote's Den, 3741 E Kellogg Rd",,NV,US,2020-10-03,,,,,,,general protesters,"against mask mandates during coronavirus pandemic, for reopening businesses, for President Trump",2,protest,,,,,1,1,https://pvtimes.com/news/peaceful-protest-set-for-saturday-in-pahrump-90170/,,,,
Palmer,,,MA,US,2020-10-03,100 or more,100,,100,,,general protesters,for President Trump,2,car caravan,,,,,1,1,https://www.wwlp.com/news/local-news/hampden-county/rolling-rally-in-palmer-shows-support-for-president-trump/,,,,
Pasadena,Robin's Woodfire BBQ,,CA,US,2020-10-03,about two dozen supporters,24,,24,,,general protesters,"for President Trump, for Republican candidates for local office",2,rally,,,,,1,1,https://www.pasadenanow.com/main/republicans-rally-in-pasadena-for-two-local-congressional-candidates/,,,,
Petaluma,Putnam Plaza,,CA,US,2020-10-03,roughly 100 people,100,,100,,,general protesters,"against racism, against police violence, for justice for Breonna Taylor",1,march,,,,,1,1,https://www.theoakleafnews.com/a-home-page-slideshow/2020/10/12/no-good-cops-in-a-racist-system-protestors-march-for-breonna-taylor-in-petaluma/,,,,
Philadelphia,"Beury Beach, Temple University",,PA,US,2020-10-03,FB: 24,24,,24,,,Philadelphia Socialist Alternative,"for socialism, against capitalism",1,outdoor meeting,,,,,1,1,https://www.facebook.com/events/1521648591358509/,,,Capitalism Is Killing Us,
Philadelphia,Independence Mall,,PA,US,2020-10-03,,,,,,,Refuse Fascism Philly; Refuse Fascism,"against President Trump, against fascism",1,rally,,,,,0,1,https://www.facebook.com/events/377496803255181/?event_time_id=377496809921847,,,Trump/Pence out Now,
Philadelphia,Philadelphia Museum of Art,,PA,US,2020-10-03,a few hundred people,300,,300,,,Black Lives Matter Philly; Black Philly Radical Collective; Black Alliance for Peace; Mobilization4Mumia,"against racism, against police violence, for justice for Breonna Taylor",1,rally; teach-in,,,,,0,1,https://whyy.org/articles/demonstration-at-art-museum-honors-breonna-taylor/,https://www.facebook.com/events/345462416603951/,,Fists Up! Fight Back! Rally & Teach-In,
Phoenix,Phoenix City Hall,,AZ,US,2020-10-03,several hundred people,300,,300,,,Black Lives Matter Phoenix Metro; Semillas Arizona; Poder in Action; Mass Liberation Arizona; Black Phoenix Organizing Collective,"against racism, against police violence, for defunding police, for justice for Breonna Taylor and Dion Johnson",1,march,7,,,,1,1,https://www.fox10phoenix.com/video/857207,https://www.azcentral.com/get-access/?return=https%3A%2F%2Fwww.azcentral.com%2Fpicture-gallery%2Fnews%2Flocal%2Fphoenix%2F2020%2F10%2F04%2Fprotest-dion-johnson-and-breonna-taylor-phoenix%2F3614268001%2F,https://www.azfamily.com/news/multiple-people-arrested-at-a-protest-saturday-night-in-downtown-phoenix/article_3f992d48-0673-11eb-b0b7-2762b2e3401e.html,,
Pittsburg,Pittsburg SKIL office to to Sen. Jerry Moran's office to public pavilion west of Broadway St,,KS,US,2020-10-03,,,,,,,SKIL Resource Center; Kansas Poor Peoples' Campaign,for expansion of Medicaid to all Kansas residents,1,march,,,,,1,1,https://www.morningsun.net/news/20201006/protesters-march-for-medicaid-expansion,,,,
